tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,PROVINSI
1/1/2021,60,0,20,40,5724,4575,261,888,NUSA TENGGARA BARAT
1/1/2021,14,0,1,13,2181,1204,49,928,NUSA TENGGARA TIMUR
1/1/2021,99,0,61,38,15402,13861,584,957,KALIMANTAN SELATAN
1/1/2021,35,1,102,-68,3829,2147,58,1624,KALIMANTAN UTARA
1/1/2021,13,2,1,10,1954,1552,36,366,SULAWESI BARAT
1/1/2021,2,1,0,1,2773,2353,90,330,MALUKU UTARA
1/1/2021,147,3,144,0,25113,23220,585,1308,RIAU
1/1/2021,233,13,113,107,12388,8288,272,3828,DAERAH ISTIMEWA YOGYAKARTA
1/1/2021,11,2,123,-114,13220,7177,157,5886,PAPUA
1/1/2021,16,1,4,11,5995,5453,99,443,PAPUA BARAT
1/1/2021,299,12,205,82,27375,23010,755,3610,KALIMANTAN TIMUR
1/1/2021,68,5,97,-34,3671,2652,117,902,BENGKULU
1/1/2021,7,0,10,-3,8753,7149,358,1246,ACEH
1/1/2021,84,2,89,-7,18233,15480,681,2072,SUMATERA UTARA
1/1/2021,80,1,40,39,2418,1758,36,624,KEPULAUAN BANGKA BELITUNG
1/1/2021,147,1,115,31,23611,21930,526,1155,SUMATERA BARAT
1/1/2021,80,3,197,-120,6356,4515,277,1564,LAMPUNG
1/1/2021,1956,20,1643,293,185653,166308,3270,16075,DKI JAKARTA
1/1/2021,900,4,574,322,83446,57035,3624,22787,JAWA TENGAH
1/1/2021,19,1,8,10,7014,6058,172,784,KEPULAUAN RIAU
1/1/2021,101,1,76,24,17694,16220,517,957,BALI
1/1/2021,18,0,60,-42,3136,2801,25,310,KALIMANTAN BARAT
1/1/2021,95,0,200,-105,9835,6648,198,2989,KALIMANTAN TENGAH
1/1/2021,53,0,71,-18,9723,7146,310,2267,SULAWESI UTARA
1/1/2021,36,0,34,2,3263,2352,56,855,JAMBI
1/1/2021,65,2,104,-41,3617,1969,108,1540,SULAWESI TENGAH
1/1/2021,25,0,16,9,3865,3323,104,438,GORONTALO
1/1/2021,1376,15,955,406,91592,75875,1461,14256,JAWA BARAT
1/1/2021,862,64,641,157,85261,75476,6431,3354,JAWA TIMUR
1/1/2021,32,1,14,17,5754,4571,72,1111,MALUKU
1/1/2021,550,5,605,-60,31595,26354,598,4643,SULAWESI SELATAN
1/1/2021,74,5,57,12,11900,9418,604,1878,SUMATERA SELATAN
1/1/2021,287,12,188,87,18441,15771,532,2138,BANTEN
1/1/2021,79,0,2,77,7986,6682,147,1157,SULAWESI TENGGARA
1/2/2021,59,2,39,18,5783,4614,263,906,NUSA TENGGARA BARAT
1/2/2021,35,0,3,32,2216,1207,49,960,NUSA TENGGARA TIMUR
1/2/2021,17,2,45,-30,15419,13906,586,927,KALIMANTAN SELATAN
1/2/2021,50,0,120,-70,3879,2267,58,1554,KALIMANTAN UTARA
1/2/2021,6,0,1,5,1960,1553,36,371,SULAWESI BARAT
1/2/2021,9,0,8,1,2782,2361,90,331,MALUKU UTARA
1/2/2021,68,6,128,-66,25181,23348,591,1242,RIAU
1/2/2021,291,2,217,72,12679,8505,274,3900,DAERAH ISTIMEWA YOGYAKARTA
1/2/2021,23,0,108,-85,13243,7285,157,5801,PAPUA
1/2/2021,17,1,33,-17,6012,5486,100,426,PAPUA BARAT
1/2/2021,213,4,235,-26,27588,23245,759,3584,KALIMANTAN TIMUR
1/2/2021,19,1,71,-53,3690,2723,118,849,BENGKULU
1/2/2021,8,0,7,1,8761,7156,358,1247,ACEH
1/2/2021,86,2,82,2,18319,15562,683,2074,SUMATERA UTARA
1/2/2021,60,0,36,24,2478,1794,36,648,KEPULAUAN BANGKA BELITUNG
1/2/2021,38,2,125,-89,23649,22055,528,1066,SUMATERA BARAT
1/2/2021,115,0,6,109,6471,4521,277,1673,LAMPUNG
1/2/2021,1894,26,2280,-412,187547,168588,3296,15663,DKI JAKARTA
1/2/2021,971,92,904,-25,84417,57939,3716,22762,JAWA TENGAH
1/2/2021,19,0,98,-79,7033,6156,172,705,KEPULAUAN RIAU
1/2/2021,165,5,125,35,17859,16345,522,992,BALI
1/2/2021,0,0,0,0,3136,2801,25,310,KALIMANTAN BARAT
1/2/2021,59,0,100,-41,9894,6748,198,2948,KALIMANTAN TENGAH
1/2/2021,60,12,71,-23,9783,7217,322,2244,SULAWESI UTARA
1/2/2021,33,1,29,3,3296,2381,57,858,JAMBI
1/2/2021,66,1,31,34,3683,2000,109,1574,SULAWESI TENGAH
1/2/2021,0,0,30,-30,3865,3353,104,408,GORONTALO
1/2/2021,1214,7,1150,57,92806,77025,1468,14313,JAWA BARAT
1/2/2021,762,70,678,14,86023,76154,6501,3368,JAWA TIMUR
1/2/2021,18,0,34,-16,5772,4605,72,1095,MALUKU
1/2/2021,590,5,36,549,32185,26390,603,5192,SULAWESI SELATAN
1/2/2021,45,1,97,-53,11945,9515,605,1825,SUMATERA SELATAN
1/2/2021,246,9,342,-105,18687,16113,541,2033,BANTEN
1/2/2021,33,2,23,8,8019,6705,149,1165,SULAWESI TENGGARA
1/3/2021,21,0,14,7,5804,4628,263,913,NUSA TENGGARA BARAT
1/3/2021,19,3,66,-50,2235,1273,52,910,NUSA TENGGARA TIMUR
1/3/2021,71,1,80,-10,15490,13986,587,917,KALIMANTAN SELATAN
1/3/2021,114,0,0,114,3993,2267,58,1668,KALIMANTAN UTARA
1/3/2021,24,0,13,11,1984,1566,36,382,SULAWESI BARAT
1/3/2021,5,0,0,5,2787,2361,90,336,MALUKU UTARA
1/3/2021,81,5,156,-80,25262,23504,596,1162,RIAU
1/3/2021,218,13,221,-16,12897,8726,287,3884,DAERAH ISTIMEWA YOGYAKARTA
1/3/2021,27,1,211,-185,13270,7496,158,5616,PAPUA
1/3/2021,15,0,52,-37,6027,5538,100,389,PAPUA BARAT
1/3/2021,305,4,218,83,27893,23463,763,3667,KALIMANTAN TIMUR
1/3/2021,45,0,91,-46,3735,2814,118,803,BENGKULU
1/3/2021,2,0,0,2,8763,7156,358,1249,ACEH
1/3/2021,89,0,84,5,18408,15646,683,2079,SUMATERA UTARA
1/3/2021,60,0,54,6,2538,1848,36,654,KEPULAUAN BANGKA BELITUNG
1/3/2021,61,3,116,-58,23710,22171,531,1008,SUMATERA BARAT
1/3/2021,81,3,42,36,6552,4563,280,1709,LAMPUNG
1/3/2021,1658,10,1691,-43,189205,170279,3306,15620,DKI JAKARTA
1/3/2021,929,65,405,459,85346,58344,3781,23221,JAWA TENGAH
1/3/2021,13,0,21,-8,7046,6177,172,697,KEPULAUAN RIAU
1/3/2021,119,0,84,35,17978,16429,522,1027,BALI
1/3/2021,24,0,52,-28,3160,2853,25,282,KALIMANTAN BARAT
1/3/2021,64,0,200,-136,9958,6948,198,2812,KALIMANTAN TENGAH
1/3/2021,81,0,19,62,9864,7236,322,2306,SULAWESI UTARA
1/3/2021,26,1,1,24,3322,2382,58,882,JAMBI
1/3/2021,67,3,33,31,3750,2033,112,1605,SULAWESI TENGAH
1/3/2021,1,0,35,-34,3866,3388,104,374,GORONTALO
1/3/2021,916,7,825,84,93722,77850,1475,14397,JAWA BARAT
1/3/2021,571,49,535,-13,86594,76689,6550,3355,JAWA TIMUR
1/3/2021,9,0,23,-14,5781,4628,72,1081,MALUKU
